Time	Left foot marker	Right foot marker	Left vertical force	Right vertical force	Success	Preferred left step length	Preferred Right step length	Left gain	Right gain	Constant	Stride Number	Right step length	Left step length	Sum of gains and steps	Lower bound success	Upper bound success	Score	Success Region	Left heel strike	Right heel strike	Left lateral position	Right lateral position
6811.037334	-0.248573	-0.269009	222.904861	166.011230	0.000000	0.350000	0.350000	1.000000	1.000000	2.000000	0.000000	0.000000	-1.172975	-1.303306	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	-0.218406	0.190137
6811.040667	-0.248573	-0.269009	222.904861	166.011230	0.000000	0.350000	0.350000	1.000000	1.000000	2.000000	0.000000	0.000000	-1.172975	-1.303306	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	-0.218406	0.190137
6811.044000	-0.248611	-0.269038	223.963837	166.339691	0.000000	0.350000	0.350000	1.000000	1.000000	2.000000	0.000000	0.000000	-1.172975	-1.303306	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	-0.218399	0.190138
6811.047334	-0.248611	-0.269038	223.963837	166.339691	0.000000	0.350000	0.350000	1.000000	1.000000	2.000000	0.000000	0.000000	-1.172975	-1.303306	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	-0.218399	0.190138
6811.050667	-0.248611	-0.269038	223.963837	166.339691	0.000000	0.350000	0.350000	1.000000	1.000000	2.000000	0.000000	0.000000	-1.172975	-1.303306	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	-0.218399	0.190138
6811.054000	-0.248596	-0.269010	223.545273	165.581833	0.000000	0.350000	0.350000	1.000000	1.000000	2.000000	0.000000	0.000000	-1.172975	-1.303306	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	-0.218409	0.190115
6811.057334	-0.248596	-0.269010	223.545273	165.581833	0.000000	0.350000	0.350000	1.000000	1.000000	2.000000	0.000000	0.000000	-1.172975	-1.303306	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	-0.218409	0.190115
6811.060667	-0.248596	-0.269010	223.545273	165.581833	0.000000	0.350000	0.350000	1.000000	1.000000	2.000000	0.000000	0.000000	-1.172975	-1.303306	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	-0.218409	0.190115
6811.064000	-0.248596	-0.269013	223.550537	165.526138	0.000000	0.350000	0.350000	1.000000	1.000000	2.000000	0.000000	0.000000	-1.172975	-1.303306	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	-0.218405	0.190118
6811.067334	-0.248596	-0.269013	223.550537	165.526138	0.000000	0.350000	0.350000	1.000000	1.000000	2.000000	0.000000	0.000000	-1.172975	-1.303306	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	-0.218405	0.190118
6811.070667	-0.248596	-0.269013	223.550537	165.526138	0.000000	0.350000	0.350000	1.000000	1.000000	2.000000	0.000000	0.000000	-1.172975	-1.303306	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	-0.218405	0.190118
6811.074000	-0.248597	-0.269020	223.685532	165.380417	0.000000	0.350000	0.350000	1.000000	1.000000	2.000000	0.000000	0.000000	-1.172975	-1.303306	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	-0.218395	0.190120
6811.077334	-0.248597	-0.269020	223.685532	165.380417	0.000000	0.350000	0.350000	1.000000	1.000000	2.000000	0.000000	0.000000	-1.172975	-1.303306	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	-0.218395	0.190120
6811.080667	-0.248597	-0.269020	223.685532	165.380417	0.000000	0.350000	0.350000	1.000000	1.000000	2.000000	0.000000	0.000000	-1.172975	-1.303306	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	-0.218395	0.190120
6811.084000	-0.248604	-0.269021	224.206940	165.206955	0.000000	0.350000	0.350000	1.000000	1.000000	2.000000	0.000000	0.000000	-1.172975	-1.303306	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	-0.218391	0.190110
6811.087334	-0.248604	-0.269021	224.206940	165.206955	0.000000	0.350000	0.350000	1.000000	1.000000	2.000000	0.000000	0.000000	-1.172975	-1.303306	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	-0.218391	0.190110
6811.090667	-0.248604	-0.269021	224.206940	165.206955	0.000000	0.350000	0.350000	1.000000	1.000000	2.000000	0.000000	0.000000	-1.172975	-1.303306	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	-0.218391	0.190110
6811.094000	-0.248614	-0.269015	224.881073	165.013046	0.000000	0.350000	0.350000	1.000000	1.000000	2.000000	0.000000	0.000000	-1.172975	-1.303306	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	-0.218391	0.190099
6811.097334	-0.248614	-0.269015	224.881073	165.013046	0.000000	0.350000	0.350000	1.000000	1.000000	2.000000	0.000000	0.000000	-1.172975	-1.303306	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	-0.218391	0.190099
6811.100667	-0.248614	-0.269015	224.881073	165.013046	0.000000	0.350000	0.350000	1.000000	1.000000	2.000000	0.000000	0.000000	-1.172975	-1.303306	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	-0.218391	0.190099
6811.104000	-0.248577	-0.269018	224.868866	163.547577	0.000000	0.350000	0.350000	1.000000	1.000000	2.000000	0.000000	0.000000	-1.172975	-1.303306	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	-0.218424	0.190117
6811.107334	-0.248577	-0.269018	224.868866	163.547577	0.000000	0.350000	0.350000	1.000000	1.000000	2.000000	0.000000	0.000000	-1.172975	-1.303306	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	-0.218424	0.190117
6811.110667	-0.248577	-0.269018	224.868866	163.547577	0.000000	0.350000	0.350000	1.000000	1.000000	2.000000	0.000000	0.000000	-1.172975	-1.303306	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	-0.218424	0.190117
6811.114000	-0.248615	-0.269030	224.780762	162.824219	0.000000	0.350000	0.350000	1.000000	1.000000	2.000000	0.000000	0.000000	-1.172975	-1.303306	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	-0.218387	0.190098
6811.117334	-0.248615	-0.269030	224.780762	162.824219	0.000000	0.350000	0.350000	1.000000	1.000000	2.000000	0.000000	0.000000	-1.172975	-1.303306	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	-0.218387	0.190098
6811.120667	-0.248615	-0.269030	224.780762	162.824219	0.000000	0.350000	0.350000	1.000000	1.000000	2.000000	0.000000	0.000000	-1.172975	-1.303306	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	-0.218387	0.190098
6811.124000	-0.248614	-0.269030	224.815308	162.804443	0.000000	0.350000	0.350000	1.000000	1.000000	2.000000	0.000000	0.000000	-1.172975	-1.303306	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	-0.218388	0.190094
6811.127334	-0.248614	-0.269030	224.815308	162.804443	0.000000	0.350000	0.350000	1.000000	1.000000	2.000000	0.000000	0.000000	-1.172975	-1.303306	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	-0.218388	0.190094
6811.130667	-0.248614	-0.269030	224.815308	162.804443	0.000000	0.350000	0.350000	1.000000	1.000000	2.000000	0.000000	0.000000	-1.172975	-1.303306	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	-0.218388	0.190094
6811.134000	-0.248610	-0.269034	224.978073	162.762604	0.000000	0.350000	0.350000	1.000000	1.000000	2.000000	0.000000	0.000000	-1.172975	-1.303306	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	-0.218394	0.190069
6811.137334	-0.248610	-0.269034	224.978073	162.762604	0.000000	0.350000	0.350000	1.000000	1.000000	2.000000	0.000000	0.000000	-1.172975	-1.303306	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	-0.218394	0.190069
6811.140667	-0.248610	-0.269034	224.978073	162.762604	0.000000	0.350000	0.350000	1.000000	1.000000	2.000000	0.000000	0.000000	-1.172975	-1.303306	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	-0.218394	0.190069
6811.144000	-0.248630	-0.269043	226.104919	162.446121	0.000000	0.350000	0.350000	1.000000	1.000000	2.000000	0.000000	0.000000	-1.172975	-1.303306	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	-0.218379	0.190073
6811.147334	-0.248630	-0.269043	226.104919	162.446121	0.000000	0.350000	0.350000	1.000000	1.000000	2.000000	0.000000	0.000000	-1.172975	-1.303306	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	-0.218379	0.190073
6811.150667	-0.248630	-0.269043	226.104919	162.446121	0.000000	0.350000	0.350000	1.000000	1.000000	2.000000	0.000000	0.000000	-1.172975	-1.303306	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	-0.218379	0.190073
6811.154000	-0.248599	-0.269053	226.007065	161.664108	0.000000	0.350000	0.350000	1.000000	1.000000	2.000000	0.000000	0.000000	-1.172975	-1.303306	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	-0.218407	0.189987
6811.157334	-0.248599	-0.269053	226.007065	161.664108	0.000000	0.350000	0.350000	1.000000	1.000000	2.000000	0.000000	0.000000	-1.172975	-1.303306	1.450000	2.550000	0.000000	0.550000	0.000000	0.000000	-0.218407	0.189987
