Time	Left foot marker	Right foot marker	Left vertical force	Right vertical force	Stride length	Right step length	Left step length	Right preferred step length	Left preferred step length	Right heel strike	Left heel strike	Left hip	Right hip
6201.410649	0.000000	0.000000	222.249161	37.018070	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.413983	0.000000	0.000000	226.132050	36.071220	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.417316	0.000000	0.000000	226.132050	36.071220	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.420649	0.000000	0.000000	226.132050	36.071220	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.423983	0.000000	0.000000	222.568451	36.735798	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.427316	0.000000	0.000000	222.568451	36.735798	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.430649	0.000000	0.000000	222.568451	36.735798	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.433983	0.000000	0.000000	222.153397	37.025360	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.437316	0.000000	0.000000	222.153397	37.025360	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.440649	0.000000	0.000000	222.153397	37.025360	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.443983	0.000000	0.000000	221.309738	37.975193	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.447316	0.000000	0.000000	221.309738	37.975193	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.450649	0.000000	0.000000	221.309738	37.975193	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.453983	0.000000	0.000000	223.610550	43.184925	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.457316	0.000000	0.000000	223.610550	43.184925	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.460649	0.000000	0.000000	223.610550	43.184925	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.463983	0.000000	0.000000	221.710892	46.040253	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.467316	0.000000	0.000000	221.710892	46.040253	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.470649	0.000000	0.000000	221.710892	46.040253	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.473983	0.000000	0.000000	220.045593	45.887051	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.477316	0.000000	0.000000	220.045593	45.887051	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.480649	0.000000	0.000000	220.045593	45.887051	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.483983	0.000000	0.000000	220.543915	44.551399	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.487316	0.000000	0.000000	220.543915	44.551399	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.490649	0.000000	0.000000	220.543915	44.551399	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.493983	0.000000	0.000000	221.030655	45.953239	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.497316	0.000000	0.000000	221.030655	45.953239	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.500649	0.000000	0.000000	221.030655	45.953239	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.503983	0.000000	0.000000	221.824966	47.691586	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.507316	0.000000	0.000000	221.824966	47.691586	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.510649	0.000000	0.000000	221.824966	47.691586	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.513983	0.000000	0.000000	225.419434	47.001396	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.517316	0.000000	0.000000	225.419434	47.001396	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.520649	0.000000	0.000000	225.419434	47.001396	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.523983	0.000000	0.000000	228.996185	46.944473	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.527316	0.000000	0.000000	228.996185	46.944473	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.530649	0.000000	0.000000	228.996185	46.944473	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.533983	0.000000	0.000000	229.512527	48.669415	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.537316	0.000000	0.000000	229.512527	48.669415	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.540649	0.000000	0.000000	229.512527	48.669415	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.543983	0.000000	0.000000	229.137695	47.630432	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.547316	0.000000	0.000000	229.137695	47.630432	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.550649	0.000000	0.000000	229.137695	47.630432	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.553983	0.000000	0.000000	226.208633	44.102245	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.557316	0.000000	0.000000	226.208633	44.102245	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.560649	0.000000	0.000000	226.208633	44.102245	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.563983	0.000000	0.000000	222.651459	43.247124	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.567316	0.000000	0.000000	222.651459	43.247124	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.570649	0.000000	0.000000	222.651459	43.247124	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.573983	0.000000	0.000000	222.458405	43.236851	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.577316	0.000000	0.000000	222.458405	43.236851	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.580649	0.000000	0.000000	222.458405	43.236851	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.583983	0.000000	0.000000	218.654175	40.322422	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.587316	0.000000	0.000000	218.654175	40.322422	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.590649	0.000000	0.000000	218.654175	40.322422	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.593983	0.000000	0.000000	211.937225	37.809723	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.597316	0.000000	0.000000	211.937225	37.809723	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.600649	0.000000	0.000000	211.937225	37.809723	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.603983	0.000000	0.000000	203.831314	36.905865	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.607316	0.000000	0.000000	203.831314	36.905865	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.610649	0.000000	0.000000	203.831314	36.905865	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.613983	0.000000	0.000000	200.671799	34.881699	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.617316	0.000000	0.000000	200.671799	34.881699	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.620649	0.000000	0.000000	200.671799	34.881699	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.623983	0.000000	0.000000	199.499680	31.781395	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.627316	0.000000	0.000000	199.499680	31.781395	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.630649	0.000000	0.000000	199.499680	31.781395	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.633983	0.000000	0.000000	196.598465	29.496971	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.637316	0.000000	0.000000	196.598465	29.496971	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.640649	0.000000	0.000000	196.598465	29.496971	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.643983	0.000000	0.000000	196.390961	20.726608	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.647316	0.000000	0.000000	196.390961	20.726608	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.650649	0.000000	0.000000	196.390961	20.726608	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.653983	0.000000	0.000000	200.845612	9.013763	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.657316	0.000000	0.000000	200.845612	9.013763	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6201.660649	0.000000	0.000000	200.845612	9.013763	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
