subject_id,age,vis1_sr,vis1_sr_max,vis1_sr_min,invis_sr,invis_sr_max,invis_sr_min,vis2_sr,vis2_sr_max,vis2_sr_min,vis1_msl,vis1_msl_max,vis1_msl_min,invis_msl,invis_msl_max,invis_msl_min,vis2_msl,vis2_msl_max,vis2_msl_min,vis1_sd,vis1_sd_max,vis1_sd_min,invis_sd,invis_sd_max,invis_sd_min,vis2_sd,vis2_sd_max,vis2_sd_min,vis1_learning,vis1_learning_max,vis1_learning_min,invis_learning,invis_learning_max,invis_learning_min,vis2_learning,vis2_learning_max,vis2_learning_min
MUH1053,8.833333333333334,,,,0.5555555555555556,0.45,0.05,0.2564102564102564,0.45,0.0,,,,1.9757880982142857,2.154168825,1.9113000000000002,1.988948865384616,2.0793148500000003,2.2289047500000003,,,,0.6300858817236179,0.7232655710581418,0.5346309682783414,0.7051935880578931,0.7565084555609669,0.2400281889313102,,,,,0.38542206250000055,0.2217499999999995,,0.19828712500000073,-0.5722618750000009
MUH1054,12.416666666666666,,,,,,,0.5256410256410257,0.45,0.5,,,,,,,2.0562247499999997,2.4540888,1.6626150750000002,,,,,,,0.43809332995795286,0.1910017543072783,0.19945126276000325,,,,,,,,1.1352220000000004,0.8434623124999998
MUH1055,15.666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUH1056,9.0,,,,0.7222222222222222,0.4,0.55,0.34615384615384615,0.1,0.5,,,,2.0302249345238095,2.26424415,1.7401419749999998,1.809859884615385,2.0703728999999997,1.59956685,,,,0.3520002762587343,0.3285807020552701,0.17538689175059105,0.4653525452507347,0.49757183718078657,0.32850264779426774,,,,,0.6606103750000004,0.6496450625000006,,0.17593224999999937,1.0010828750000003
MUH1057,13.5,,,,0.782608695652174,0.75,0.75,,,,,,,1.7916980217391307,1.691534175,1.691534175,,,,,,,0.6001691670606895,0.4569334634395643,0.4569334634395643,,,,,,,,,,,,
MUH1058,12.333333333333334,,,,,,,0.38461538461538464,0.2,0.65,,,,,,,1.7843451923076923,1.850292075,1.498041675,,,,,,,0.5557995238735339,0.744747373388511,0.3780200344613913,,,,,,,,-0.37426981249999997,1.2548958125
MUH1059,7.166666666666667,,,,,,,0.02564102564102564,0.0,0.1,,,,,,,0.8816167884615385,0.9407793750000002,0.8271426749999999,,,,,,,0.671900636276793,0.783872383985259,0.7410417513558065,,,,,,,,-2.6480515625,2.932143312500001
MUH1060,8.75,,,,,,,0.11538461538461539,0.05,0.25,,,,,,,0.9471274230769234,0.40670609999999996,0.9197308499999999,,,,,,,0.9171693213019011,1.051958795319607,0.9549807711578211,,,,,,,,-3.9832347500000007,2.700672875000001
MUH1061,10.5,,,,,,,0.34615384615384615,0.1,0.75,,,,,,,1.819848423076923,2.1102114,1.559585775,,,,,,,0.36161440251932675,0.2512947622428165,0.09258004227402293,,,,,,,,0.2755284999999997,1.1010355625000003
MUH1062,14.75,0.8078817733990148,0.45,0.7,0.7797619047619048,0.7,0.35,,,,2.0019827290640397,2.2493757,1.641490725,2.0422729464285716,2.36645805,1.917595275,,,,0.19536142183119576,0.11087670438924968,0.11863303653931656,0.2383536746601886,0.14037200768361532,0.25413899197939305,,,,,0.6234392499999998,0.8962731875000004,,0.9161451249999999,0.20601181249999995,,,
MUH1063,9.333333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUH1064,10.75,0.7857142857142857,0.4,1.0,0.873015873015873,1.0,0.7,0.8076923076923077,0.95,1.0,2.0147591130952383,2.32890675,1.6841420999999996,2.042843095238095,2.41553685,1.55599515,1.9695533653846151,2.373128025,1.61401665,0.238461587617582,0.2729734539561013,0.2082902557017617,0.33059221751356543,0.06751651950645705,0.2236895476947259,0.3905293764500175,0.08701842749390788,0.06492799084777647,,0.8222668749999997,0.7896447500000011,,1.0388421250000004,1.1100121250000003,,0.9328200625000007,0.9649583750000004
MUH1065,10.75,0.48412698412698413,0.3,0.2,0.5618811881188119,0.35,0.15,0.32051282051282054,0.35,0.15,1.7598847023809527,1.7454080250000004,1.673249625,1.758035777227723,1.8388434,1.7319303000000001,1.8856731923076926,2.2669159499999996,1.7466326999999997,0.6782639524053689,0.6545453659226395,0.3970566428485751,0.5996695889429889,0.7838674910635424,0.4500104304476965,0.5588361935152656,0.4411347843020406,0.42107338469475847,,-0.6364799374999992,0.8168759375000003,,-0.40289150000000007,0.6701742499999997,,0.667289874999999,0.6334182500000008
MUH1066,7.5,0.3888888888888889,0.1,0.15,0.5945945945945946,0.65,0.65,,,,1.827182482142857,1.948017,1.555519425,1.680244945945946,1.5978548999999997,1.5978548999999997,,,,0.6328862310535851,0.43167001375968833,0.903471213539644,0.6578169519603141,0.6599734224606401,0.6599734224606401,,,,,-0.12995749999999975,1.1112014375000003,,,,,,
MUH1067,13.333333333333334,0.7896825396825397,0.45,0.55,0.8465346534653465,0.7,0.9,0.6794871794871795,0.5,0.8,1.9641177083333332,2.2430037,1.71572955,1.9669980222772276,2.2783073999999996,1.628898075,1.9357952307692308,2.2560374249999997,1.6835327249999998,0.15514279358933955,0.07093183437628135,0.11416273638722231,0.24844360072777857,0.06413370406559783,0.08548542011903723,0.32838131093766715,0.08700732924863812,0.06238464041595728,,0.6075092500000002,0.710676125,,0.6957684999999992,0.9277548125000004,,0.6400935624999994,0.7911681875000006
