Time	Left foot marker	Right foot marker	Left vertical force	Right vertical force	Success	Preferred left step length	Preferred Right step length	Left gain	Right gain	Constant	Stride Number	Right step length	Left step length	Sum of gains and steps	Lower bound success	Upper bound success	Score	Success Region	Left heel strike	Right heel strike	Short or long first	Feedback	Firework position
806.236146	0.637012	0.253493	0.044879	285.240021	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	5.000000	0.397626	0.533722	0.615018	1.500000	2.500000	1.000000	0.500000	5.000000	6.000000	1.000000	1.000000	1.000000
806.239479	0.637012	0.253493	0.044879	285.240021	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	5.000000	0.397626	0.533722	0.615018	1.500000	2.500000	1.000000	0.500000	5.000000	6.000000	1.000000	1.000000	1.000000
806.242813	0.637012	0.253493	0.044879	285.240021	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	5.000000	0.397626	0.533722	0.615018	1.500000	2.500000	1.000000	0.500000	5.000000	6.000000	1.000000	1.000000	1.000000
806.246146	0.637012	0.253493	0.044879	285.240021	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	5.000000	0.397626	0.533722	0.615018	1.500000	2.500000	1.000000	0.500000	5.000000	6.000000	1.000000	1.000000	1.000000
806.249479	0.637012	0.253493	0.044879	285.240021	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	5.000000	0.397626	0.533722	0.615018	1.500000	2.500000	1.000000	0.500000	5.000000	6.000000	1.000000	1.000000	1.000000
806.252813	0.637012	0.253493	0.044879	285.240021	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	5.000000	0.397626	0.533722	0.615018	1.500000	2.500000	1.000000	0.500000	5.000000	6.000000	1.000000	1.000000	1.000000
806.256146	0.637012	0.253493	0.044879	285.240021	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	5.000000	0.397626	0.533722	0.615018	1.500000	2.500000	1.000000	0.500000	5.000000	6.000000	1.000000	1.000000	1.000000
806.259479	0.637012	0.253493	0.044879	285.240021	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	5.000000	0.397626	0.533722	0.615018	1.500000	2.500000	1.000000	0.500000	5.000000	6.000000	1.000000	1.000000	1.000000
806.262813	0.635189	0.274950	-0.872359	260.440826	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	5.000000	0.397626	0.533722	0.615018	1.500000	2.500000	1.000000	0.500000	5.000000	6.000000	1.000000	1.000000	1.000000
806.266146	0.635189	0.274950	-0.872359	260.440826	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	5.000000	0.397626	0.533722	0.615018	1.500000	2.500000	1.000000	0.500000	5.000000	6.000000	1.000000	1.000000	1.000000
806.269479	0.635189	0.274950	-0.872359	260.440826	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	5.000000	0.397626	0.533722	0.615018	1.500000	2.500000	1.000000	0.500000	5.000000	6.000000	1.000000	1.000000	1.000000
806.272813	0.635189	0.274950	-0.872359	260.440826	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	5.000000	0.397626	0.533722	0.615018	1.500000	2.500000	1.000000	0.500000	5.000000	6.000000	1.000000	1.000000	1.000000
806.276146	0.635189	0.274950	-0.872359	260.440826	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	5.000000	0.397626	0.533722	0.615018	1.500000	2.500000	1.000000	0.500000	5.000000	6.000000	1.000000	1.000000	1.000000
806.279479	0.635189	0.274950	-0.872359	260.440826	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	5.000000	0.397626	0.533722	0.615018	1.500000	2.500000	1.000000	0.500000	5.000000	6.000000	1.000000	1.000000	1.000000
806.282813	0.635189	0.274950	-0.872359	260.440826	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	5.000000	0.397626	0.533722	0.615018	1.500000	2.500000	1.000000	0.500000	5.000000	6.000000	1.000000	1.000000	1.000000
806.286146	0.635189	0.274950	-0.872359	260.440826	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	5.000000	0.397626	0.533722	0.615018	1.500000	2.500000	1.000000	0.500000	5.000000	6.000000	1.000000	1.000000	1.000000
806.289479	0.635189	0.274950	-0.872359	260.440826	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	5.000000	0.397626	0.533722	0.615018	1.500000	2.500000	1.000000	0.500000	5.000000	6.000000	1.000000	1.000000	1.000000
806.292813	0.635189	0.274950	-0.872359	260.440826	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	5.000000	0.397626	0.533722	0.615018	1.500000	2.500000	1.000000	0.500000	5.000000	6.000000	1.000000	1.000000	1.000000
806.296146	0.625653	0.297563	6.768078	263.363953	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	5.000000	0.397626	0.533722	0.615018	1.500000	2.500000	1.000000	0.500000	5.000000	6.000000	1.000000	1.000000	1.000000
806.299479	0.625653	0.297563	6.768078	263.363953	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	5.000000	0.397626	0.533722	0.615018	1.500000	2.500000	1.000000	0.500000	5.000000	6.000000	1.000000	1.000000	1.000000
806.302813	0.625653	0.297563	6.768078	263.363953	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	5.000000	0.397626	0.533722	0.615018	1.500000	2.500000	1.000000	0.500000	5.000000	6.000000	1.000000	1.000000	1.000000
806.306146	0.625653	0.297563	6.768078	263.363953	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	5.000000	0.397626	0.533722	0.615018	1.500000	2.500000	1.000000	0.500000	5.000000	6.000000	1.000000	1.000000	1.000000
806.309479	0.625653	0.297563	6.768078	263.363953	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	5.000000	0.397626	0.533722	0.615018	1.500000	2.500000	1.000000	0.500000	5.000000	6.000000	1.000000	1.000000	1.000000
806.312813	0.625653	0.297563	6.768078	263.363953	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	5.000000	0.397626	0.533722	0.615018	1.500000	2.500000	1.000000	0.500000	5.000000	6.000000	1.000000	1.000000	1.000000
806.316146	0.625653	0.297563	6.768078	263.363953	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	5.000000	0.397626	0.533722	0.615018	1.500000	2.500000	1.000000	0.500000	5.000000	6.000000	1.000000	1.000000	1.000000
806.319479	0.625653	0.297563	6.768078	263.363953	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	5.000000	0.397626	0.533722	0.615018	1.500000	2.500000	1.000000	0.500000	5.000000	6.000000	1.000000	1.000000	1.000000
806.322813	0.625653	0.297563	6.768078	263.363953	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	5.000000	0.397626	0.533722	0.615018	1.500000	2.500000	1.000000	0.500000	5.000000	6.000000	1.000000	1.000000	1.000000
806.326146	0.611825	0.316009	5.012018	278.115692	0.000000	0.600000	0.600000	1.000000	1.000000	2.000000	5.000000	0.397626	0.533722	0.615018	1.500000	2.500000	1.000000	0.500000	5.000000	6.000000	1.000000	1.000000	1.000000
